Straßenname	ungerade Hausnummer	gerade Hausnummer	Wahlkreis	Ortschaft	Wahlbezirk
Universitätsstraße	1-9	2-20	0		0019
Untere Eichstädtstraße	1-5	2-8	3		3101
Untere Eichstädtstraße	5A-33		3		3129
Untere Eichstädtstraße	10A-44		3		3119
Untere Mühlenstraße	5-23	2-4	7	BöhLindenthalz-Ehrenberg	7441
Untere Mühlenstraße	27-35	10-36	7	BöhLindenthalz-Ehrenberg	7429
Untere Nordstraße	1-21	2-16A	3	Holzhausen	3529
Uranusstraße	1	2-50	6		6559
Uranusstraße	35-67	52-118	6		6519
Ursula-Götze-Straße	1-45	16-72	1		1401
Václav-Neumann-Straße	25-65		3		3151
Václav-Neumann-Straße	42-62		3		3169
Václav-Neumann-Straße	67-83	62A-74	3		3161
Vater-Jahn-Straße	3-15	6-22	8	Lindenthal	8311
Veilchenweg	1-17	4-20	7	Miltitz	6601
Verdistraße	1-3		2	Engelsdorf	2709
Verl. Max-Liebermann-Straße	1-65	2-24	8		8009
Verlängerte Schwedenstraße	17-33	26-40	8	Lindenthal	8311
Verlängerte Wilhelmstraße	19-33A	20A-38	8	Lindenthal	8321
Viaduktweg	1-3	2-4	9	Wiederitzsch	9520
Vierackerwiesen	9	4-10	7		7309
Wangerooger Weg	3A-25		8		9211
Wartenburgstraße	1-7	2-14	8		8111
Wasserstraße	2-18		7		7159
Wasserturmstraße	1-45	2-56	2	Engelsdorf	2731
Wasserturmweg	3-11	10	5		5329
Wasunger Straße	1-25	24	6		6029
Watestraße	5-43	2-40	4		4309
Watestraße	42-48		4		4369
Weberknechtstraße	1-57	2-70	1		2511
Wegastraße	37	2-38	6		6549
Wehrmannstraße	1-11	2-6	8		9209
Weickmannweg	1-9	2-14	6		6489
Weidenbachplan	1-3		2		2249
Weidenhof	1-51	2-52	9		1220
Weidenweg	1-7	2-30	5		5319
Weidlichstraße	1-7	2-12	2		2321
Weidmannstraße	1-27		1		2039
Weidmannstraße	2-14		1		2059
Weidmannweg	1-33	2-20	5		5409
Weigandtweg	1-75	2-84	5		5411
Weigelienstraße	9-19	2-18	2		2402
Weimarer Straße	5-21	10	6		6029
Weinberg	5-9	2-16	7	Rückmarsdorf	7529
Weinbergstraße	1-9	2-12	7		7359
Weinbergstraße	11-21	14-22	7		7341
Weinbrennerstraße	1-51	2-66	2		2321
Weinligstraße	3-21	2-14	8		9070
Weißdornstraße	1-7	2-102	6		6109
Weißdornweg	1-15	2-6	3	Holzhausen	3529
Weißenfelser Straße	1-11		5		5122
Weißenfelser Straße	2-8		5		5121
Weißenfelser Straße	13-17	8A-14	5		5109
Weißenfelser Straße	19-61	18-68	5		5119
Weißenfelser Straße	63-77	78-88	5		5129
Weißestraße	2-12		3		3101
Weißestraße	3-5C	14-26	3		3129
Weißestraße	5D-19	28-42	3		3119
Weizenweg	5-9	4-10	9	Wiederitzsch	9520
Wendelin-Hipler-Weg	1-33		5		5411
Wendelin-Hipler-Weg	2-20		5		5412
Wendenstraße	2		8		8119
Wendlerstraße	3-9	4-10	5		5139
Werfelstraße	1-37	2-8	1		1510
Werkstättenstraße	2A		2		2471
Werkstättenstraße	7-31	4-12	2	Engelsdorf	2731
Werkstättenweg	7-45	4-30	9		9329
Werkstraße	1-9	6-8	5	Hartmannsdorf-Knautnaundorf	5509
Wermsdorfer Straße	1-35	2-36	4		4159
Wernerstraße	1-3		2		2321
Wertheimer Straße	1-27	2-26	5		6311
Weststraße	3-23	2-24	8	Lindenthal	8321
Wettiner Straße	3-13	2-10	0		0530
Wettiner Straße	12-36		0		0501
Wettiner Straße	15-29		0		0519
Wetzelweg	1-35	2-40	5		5411
Wichernstraße	3-33	2-30	2		2219
Wiebelstraße	1-9		2		2201
Wiebelstraße	2-10		1		2141
Wiedebachstraße	1		4		4129
Wiedebachstraße	2-22		4		4131
Wiederitzscher Landstraße	1-55	2-14	9	Wiederitzsch	9520
Wiederitzscher Landstraße	101-107	100-114	8	Lindenthal	8311
Wiederitzscher Landstraße	109-111		8	Lindenthal	8313
Wiederitzscher Straße	3-7A	2-12	8		9059
Wiederitzscher Straße	11-35	14-42	8		9009
Wiederitzscher Straße	44		8		8029
Wiederitzscher Weg	3A-7	2-12	8		8009
Wielandstraße	1-13	2-18	7		7119
Wieselsteig	3-23	2-22	5		5401
Wieselstraße	9-17	2-12	1		2512
Wiesenblumenweg	1-7	4-10	3	Holzhausen	3529
Wiesengrund	1-59	2-60	3	Liebertwolkwitz	3439
Wiesenrain	1-19	2-24	7	Burghausen	7501
Wiesenrain	23-29		7	BöhLindenthalz-Ehrenberg	7439
Wiesenrain	31		7	Burghausen	7501
Wiesenring	11-13D	2-50	8	Lützschena-Stahmeln	8200
Witzlebenstraße	1-35	2-8	8		9231
Wöbbeliner Straße	1-19	2-22	8	Lindenthal	8311
Wodanstraße	1-21	2-40	1		1439
Wodanstraße	59-61	60	1		2509
Wognaundorfer Gasse	5	4-14	1		1009
Wohlgemuthstraße	6-14		7		7341
Wohlgemuthstraße	7-9		7		7319
Wolfener Straße	5-21	2-20	8		9029
Wolffstraße	2-22		8		8069
Wolffstraße	3-29		8		8071
Wolfgang-Heinze-Straße	9-17	4-22	4		4109
Wolfgang-Heinze-Straße	21		4		4129
Wolfgang-Heinze-Straße	26-52		4		4101
Wolfgang-Heinze-Straße	29-53		4		4132
Wolfgang-Heinze-Straße	55		4		4141
Wolfshainer Straße	1-3	2	3		3071
Wölkauer Weg	1-31	2-28	9		9309
Wolkenweg	1-13	2-8	6		6489
Wolkenweg	19	10-12	6		6491
Wöllnerstraße	3-11	2-12	5		5311
Wolteritzer Weg	1-45	2-60	9		9309
Wörlitzer Straße	1-5	2-6	9		9359
Wunderlichstraße	1-7		3		3219
Wundtstraße	3-7		0		0338
Wundtstraße	9	4	4		4009
Würkertstraße	1-7		9		9169
Würkertstraße	9-17	2-14	9		9129
Würzburger Straße	1-23	2-4	5		6312
Würzburger Straße	6A-26		5		6311
Wurzner Straße	1-17		1		2069
Wurzner Straße	2-14		2		2201
Wurzner Straße	41-47	20-70	1		2141
Wurzner Straße	61-77		1		2149
Wurzner Straße	77B-113	102-140B	1		2139
Wurzner Straße	117-129	142-160	2		2330
Wurzner Straße	137-199	172-188	2		2340
Wurzner Straße	201	192	2		2330
Wurzner Straße	203	204	2		2321
Wustmannstraße	1-11	2-28	9		9151
Wuttkestraße	1-47	2-44	1		1109
Yorck-Diebitsch-Straße	1-27	2-32	7	BöhLindenthalz-Ehrenberg	7439
Yorckstraße	1-9	2-30	8		8029
Yorckstraße	11-41		8		8059
Yorckstraße	32-56		8		8039
Yorckstraße	43-71		8		8049
Zadestraße	1	2	3		3209
Zauberweg	2		0		4201
Zaucheblick	15-35	2-24C	3	Holzhausen	3519
Zaucheweg	5	4-8	2	Engelsdorf	2809
Zaunkönigweg	2		9	Seehausen	9400
Zedernholzweg	3-15	10-18	7	BöhLindenthalz-Ehrenberg	7441
Zehmenstraße	1		8		8119
Zehmenstraße	9-11	10-16	8		8111
Zehmischstraße	1-11	2-6	4		4349
Zeisigweg	1-29	2-28	8		8101
Zeitzer Straße	50		5	Hartmannsdorf-Knautnaundorf	5509
Zentralstraße	1-7	4-8	0		0449
Zerbster Straße	1-27	2-18	9		9369
Zeumerstraße	1-5		1		1009
Ziegeleiweg	2-10		9	Wiederitzsch	9531
Ziegelstraße	1-25		3	Holzhausen	3509
Ziegelstraße	2-30		3	Holzhausen	3519
Ziegelstraße	61-65		2	Engelsdorf	2809
Zillerstraße	2-6		3		3089
Zillstraße	1-15	2-12	8		9209
Zimmerstraße	1-3	2-6	0		0449
Zingster Straße	1-39	2A-30	6		6419
Zingster Straße	32-50		6		6459
Zinnienweg	1-9	2	2	Engelsdorf	2729
Ziolkowskistraße	1-23	2-24	9		1341
Ziolkowskistraße	25-35		9		1359
Zirkonstraße	3-43	2-28	2	Engelsdorf	2701
Zittauer Straße	1-7		1		1059
Zittauer Straße	11-27	2-10	1		1030
Zittauer Straße	12-24		1		1029
Ziustraße	17-49	20-32	1		1439
Zur Schule	1-15	2-24	9	Wiederitzsch	9520
Zur Weißen Mark	1		5	Hartmannsdorf-Knautnaundorf	5509
Zur Ziegelei	1A-29	2A-22	7	BöhLindenthalz-Ehrenberg	7439
Zusestraße	1-25	8-18	7	BöhLindenthalz-Ehrenberg	7401
Zweenfurther Straße	1-3		2		2340
Zweenfurther Straße	5-21	2A-16	2		2330
Zweifelstraße	1-19		3		3219
Zweinaundorfer Straße	1-25	2-28	2		2221
Zweinaundorfer Straße	35-59	56-80	2		2249
Zweinaundorfer Straße	61-99		2		2219
Zweinaundorfer Straße	111-153		2	Mölkau	2601
Zweinaundorfer Straße	163-167	126-150	2	Mölkau	2609
Zweinaundorfer Straße	156-164		2	Mölkau	2629
Zweinaundorfer Straße	201-263	198-286	2	Mölkau	2619
Zwenkauer Straße	1-11	2-30	4		4131
Altranstädter Straße	6-46		5		5211
Altranstädter Straße	7-41		5		5219
Am Alten Bahnhof	1-5	2-4	6		6489
Am Alten Flugfeld	1-43	4-76A	8	Lindenthal	8313
Am Alten Flugfeld	45-47	78-94	8	Lindenthal	8312
Am alten Flughafen	1		9		1301
Am alten Gasthof	3-5	4-6	8		8119
Am Alten Mühlgraben	1-9	2-20	7	BöhLindenthalz-Ehrenberg	7441
Am Anger	43-65	42-66	9	Seehausen	9419
Am Angerteich	2		3	Liebertwolkwitz	3419
Am Bahndamm	1-3	2-16	2	Mölkau	2609
Am Bahnhof	2-16C		7	Miltitz	6601
Am Barnecker Gut	4-10		7	BöhLindenthalz-Ehrenberg	7401
Am Bauernsteg	5-19	4-8	8	Lützschena-Stahmeln	8219
Am Bauernteich	1-21	2-18	2		2471
Am Bildersaal	1-1A	2-6	8	Lützschena-Stahmeln	8219
Am Bischofsholz	1-21	2-16	3	Liebertwolkwitz	3439
Am Bogen	3-51	2-54	0		4210
Am Börnchen	3-7	2-6	8		8111
Am Brunnen	1-25	4-8	8	Lützschena-Stahmeln	8229
Am Doppeladler	1-3	2-4	3	Holzhausen	3519
Am Dorfplatz	3-23	2-28	7	Burghausen	7501
Am Dorfteich	1		2	Engelsdorf	2919
Am Eichberg	4-6		1		1439
Am Eichenbogen	1-25	2-24	4		4101
Am Eichwinkel	1-31	2-30	4		4402
Am Elsterbogen	1-13	2-12	5	Hartmannsdorf-Knautnaundorf	5520
Am Elsterbogen	13A	12A	5		5412
Am Elsterbogen	15-19	14	5	Hartmannsdorf-Knautnaundorf	5520
Am Elsterbogen	14A		5		5412
Am Elsterbogen	16		5	Hartmannsdorf-Knautnaundorf	5520
Am Elsterbogen	16A		5		5412
Am Elsterbogen	18-20		5	Hartmannsdorf-Knautnaundorf	5520
Am Elsterwehr	1-3		0		0400
Am Elsterwehr	2-6		0		0419
Am Elsterwehr	8-12		7		7029
Am Eselshaus	17-37	12-38	8	Lützschena-Stahmeln	8200
Am Eulengraben	1-23	2-34	3	Liebertwolkwitz	3439
Am Exer	1-9	10	8	Lützschena-Stahmeln	8229
Am Exer	11-13	12-14	8	Lindenthal	8309
Am Exerzierplatz	4-10		8	Lützschena-Stahmeln	8229
Am Feld	1-25	2-28	9	Seehausen	9419
Am Feldrain	1-9	2-12	2	Engelsdorf	2919
Am Fischerhaus	1-5B	2-10	8		8111
Am Flößgen	2-18		7	Burghausen	7501
Am Flügelrad	1-27		9		9329
Am Flügelrad	4-24		9		9359
Am Freibad	1-3	2	8	Lindenthal	8309
Am Fuchsbau	3-17	2-8	4		4101
Am Gänseanger	1-13	2-20	3	Liebertwolkwitz	3419
Am Geleinholz	1-75	2-76	3		3301
Am Grund	2-70		6		6439
Am Gundorfer Teich	5-21	2-18	7	BöhLindenthalz-Ehrenberg	7439
Am Güterring	1	2A-6	2		2249
Am Gutspark	1-41	2-34	2	Mölkau	2619
Am Hallischen Tor	1		0		0019
Am Hasenberg	1-29	2-36	2	Mölkau	2609
Am Hegeanger	1-7	2-12	6		6491
Am Hirtenhaus	1-5	2-6	8		8119
Am Hohen Graben	7-29	12-30	2	Engelsdorf	2809
Am Hohlweg	1-15	2-6	8	Lützschena-Stahmeln	8200
Am Hufeisen	1-7	2-32	7	Burghausen	7501
Am Jägerhaus	1	8-10	8	Lützschena-Stahmeln	8229
Am Kanal	28-30		7		7239
Am Kellerberg	1-15	2-20	1	Plaußig	1520
Am Keulenberg	6-20		1		1439
Am Keulenberg	71-79		1		1401
Am Kirschberg	1-49		6		6209
Am kleinen Feld	3-7		6		6409
Am kleinen Feld	9	2-54	6		6539
Am Klosterfeld	1-23	2-26	2	Mölkau	2609
Am Klucksgraben	15-39	4-22	5		5411
Am krummen Graben	1-3		5		5401
Am krummen Graben	21-23	4-24	5		5409
Am Künstlerbogen	9-15		1		1510
Am langen Felde	1-31	2-64	7		7341
Amselnest	1-17	2-14	3	Holzhausen	3509
Amselstraße	5-21	6-12	7	BöhLindenthalz-Ehrenberg	7419
Amselweg	1-41	2-20	9	Seehausen	9400
Amstetter Weg	1-5	2-6	1		1510
An den Birken	1-13	2-12	7	Burghausen	7501
An den Krutschen	1-11	2-14	7	Burghausen	7501
An den Linden	1-73	6-142	7	Rückmarsdorf	7510
An den Pferdnerkabeln	2-4		1		1439
An den Pferdnerkabeln	1-3	10	1		1421
An den Pferdnerkabeln	7		1		1401
An den Platanen	1-37	2-34	2	Mölkau	2629
An den Theklafeldern	1-27	2	2		2401
An den Theklafeldern	16-22		2		2402
An den Tierkliniken	1-47	38-50	0		0241
An der Alten Mühle	1-7	2-10	9	Seehausen	9400
An der Alten Post	1-3		7	Miltitz	6602
An der Autobahn	14		9	Seehausen	9400
An der Badeanlage	1		3	Liebertwolkwitz	3409
An der Bahn	1-19	2-4	2	Engelsdorf	2711
An der Brauerei	3-33		3	Liebertwolkwitz	3419
An der Brücke	1-23	2-12	7	Burghausen	7501
An der Burgaue	1-25	2-38	7	BöhLindenthalz-Ehrenberg	7401
An der Eisenbahn	1-7	2	3	Liebertwolkwitz	3439
An der Eisenbahn	9		3	Liebertwolkwitz	3419
An der Elster	1-37	8-30	8		8119
An der Fasanerie	1-27	2-8	1	Plaußig	1520
An der Feuerwehr	1		8	Lützschena-Stahmeln	8219
An der Friedenseiche	1-15	2-6A	7	Rückmarsdorf	7529
An der Gänseweide	1-5	2-8	3	Holzhausen	3519
An der Gärtnerei	1-43	2-14	7	Miltitz	6601
An der Grundschule	2-8		2	Engelsdorf	2729
An der Hainkirche	1-5	2-4	8	Lützschena-Stahmeln	8229
An der Hauptstraße	1-61	2-62	9	Seehausen	9419
An der Hebemärchte	1-15	2-26	2	Engelsdorf	2809
An der Hufschmiede	6-36		8	Lindenthal	8311
An der Hufschmiede	25-31		8	Lindenthal	8313
An der Hufschmiede	33-39		8	Lindenthal	8309
An der Kirche	1-19	2-18	3	Holzhausen	3519
An der Kirchgasse	1-17	2-16	7	Miltitz	6601
An der Kirschallee	1-27	2-26	8	Lützschena-Stahmeln	8229
An der Kotsche	1-13		6		6439
An der Kotsche	13A	4-50	6		6459
An der Kotsche	15-41		6		6439
An der Kotsche	43-73		6		6459
An der Lautsche	1-25		6		6439
An der Lautsche	18-40		6		6419
An der Lehde	1-9	2-14	7		7359
An der Luppe	2		7		7309
An der Luppe	1-75	4-8	7	BöhLindenthalz-Ehrenberg	7401
An der Märchenwiese	3		0		4209
An der Märchenwiese	5-11	4-12	0		4201
An der Märchenwiese	13-15	14-16A	0		4209
An der Märchenwiese	17-61	18-60	0		4221
An der Märchenwiese	63-75	62-76	0		4209
An der Merseburger Straße	16-20		7	Rückmarsdorf	7510
An der Meusdorfer Höhe	3-17	4-26	3	Holzhausen	3521
An der Milchinsel	2-8		0		0129
An der Mühle	1-15	2-10	3	Holzhausen	3529
An der Mühlpleiße	1-5	2-4	4		4401
An der Parthe	3-9	2-24	1		1009
An der Parthe	25-27		9		1220
An der Parthe	31	30	9		1360
An der Passage	1		9	Seehausen	9400
An der Querbreite	4-8		9		9329
An der Rehwiese	1-19	2-18	7	Burghausen	7501
An der Salzstraße	1		8	Lützschena-Stahmeln	8229
An der Sandgrube	1-3	2-6	7	Rückmarsdorf	7529
An der Schäferei	7-17	2-26	8	Lützschena-Stahmeln	8219
An der Schule	1	2-34	8	Lindenthal	8313
An der Siedlung	1-9	2-6	3	Liebertwolkwitz	3439
An der Streuobstwiese	1-21	4-20	7		7341
An der Tabaksmühle	3-13	2-58	0		4210
An der Tabaksmühle	21		3		3209
An der Teichmühle	1-3C	2-2A	7	Rückmarsdorf	7529
An der Telle	1-5	2-12	8		8111
An der Trift	1		3	Liebertwolkwitz	3409
Arthur-Nagel-Straße	1A-1B	6-48	5		5301
Arthur-Polenz-Straße	1-43		3	Holzhausen	3529
Arthur-Polenz-Straße	2-50		3	Holzhausen	3521
Arthur-Thiele-Weg	2-16		2	Engelsdorf	2711
Arthur-Winkler-Straße	1-5		2	Engelsdorf	2731
Arthur-Winkler-Straße	25-37	2-36	2	Engelsdorf	2709
Arthur-Winkler-Straße	43-65		2	Engelsdorf	2731
Aschaffenburger Straße	1-7	2-8	5		6312
Aschaffenburger Straße	7B-19A	10-24A	5		6311
Aschenbrödelweg	1-37	2-38	0		4221
Asternweg	2-16		6		6149
Asternweg	21-43	18-44	6		6129
Asternweg	45-51	46-52	6		6149
Atriumstraße	1-3	2-6	1		2020
Audorfstraße	2-10		0		0339
Aue	51	42-100	8	Lützschena-Stahmeln	8200
Auenblick	1-19	2-30	7	Burghausen	7501
Auenblickstraße	1-47	2-60	8	Lützschena-Stahmeln	8200
Auengrund	1-13	2-14	8	Lützschena-Stahmeln	8229
Auenhainer Straße	3-41	2-52	4		4410
Auenseestraße	1-3		8		8119
Auenseestraße	31-35	4-8	8		8111
Auenstraße	10-26		7	BöhLindenthalz-Ehrenberg	7401
Auenstraße	15-31		7	BöhLindenthalz-Ehrenberg	7402
Auenstraße	33-105	28-104	7	BöhLindenthalz-Ehrenberg	7441
Auenweg	3-71	2-12B	7	Miltitz	6602
Auenweg	14-20		7	Miltitz	6601
Auenweg	22-72		7	Miltitz	6602
Auerbachstraße	2-10		4		4129
Auerbachstraße	3-19		4		4109
Auerhahnsteig	1-3	2-10	5		5401
Auf dem Colmberg	3-35		3	Holzhausen	3519
Auf der Höhe	1-17	2-16	8	Lützschena-Stahmeln	8219
August-Bebel-Platz	1-9	2-8	2	Engelsdorf	2731
August-Bebel-Siedlung	1-87	2-86	3	Holzhausen	3519
August-Bebel-Straße	1-19	4-18	4		4011
August-Bebel-Straße	24-26		4		4009
August-Bebel-Straße	25-33		4		4029
August-Bebel-Straße	37-45	28-52A	4		4001
August-Bebel-Straße	47-67		4		4051
August-Bebel-Straße	54-84		4		4040
August-Bebel-Straße	69-83		4		4079
Auguste-Hennig-Straße	3-25	2-20	2	Mölkau	2619
Augustenstraße	2-8		3		3009
Augustenstraße	1-17	12-26	3		3001
Auguste-Schmidt-Straße	15	6-22	0		0200
Auguste-Schulze-Straße	1-11	2-10	3	Liebertwolkwitz	3409
Augustinerstraße	1-9	6	3		3209
August-Knauer-Straße	1-19		2	Mölkau	2609
August-Knauer-Straße	2-4		2	Mölkau	2601
August-Scheibe-Straße	1-23	2-6	3	Liebertwolkwitz	3409
Augustusplatz	1-3	2-4	0		0109
Augustusplatz	5-7	6	0		0200
Augustusplatz	9-15	8-16	0		0019
Aurelienstraße	1-15	2-12	7		7029
Aurelienstraße	17-59	16-40	7		7019
Aurelienstraße	42-70		7		7001
Auschwitzer Straße	9-29	12-28	9	Wiederitzsch	9511
Außenring	1-15B	4-20	9	Wiederitzsch	9519
Außenring	17-27	22-46	9	Wiederitzsch	9511
Äußere Auenblickstraße	61-65	62-82	8	Lützschena-Stahmeln	8200
Äußere Fr.-Naumann-Straße	1A-39	4-46	8	Lindenthal	8321
Äußere Raustraße	1-39	2-36	8	Lindenthal	8321
Äußerer Zeisigweg	1-43	2-42	8	Lindenthal	8321
Azaleenstraße	1-29	2B-48	5	Hartmannsdorf-Knautnaundorf	5520
Azaleenweg	5-17	4-18	3	Holzhausen	3519
Baaderstraße	1-29		8		9221
Baaderstraße	2		9		9151
Baalsdorfer Anger	2-52		2	Engelsdorf	2809
Baalsdorfer Straße	1-13A		3	Holzhausen	3509
Baalsdorfer Straße	17-27	2-28	3	Holzhausen	3519
Baalsdorfer Straße	61-147	102-170	2	Engelsdorf	2809
Baalsdorfer Straße	167		2	Engelsdorf	2731
Baalsdorfer Straße	180		2	Engelsdorf	2709
Bachenpfad	3-17	2-14	5		5401
Badergasse	1-5	2	3	Liebertwolkwitz	3419
Bernburger Straße	11-39	2-28	9		9359
Bernhard-Göring-Straße	19-21	8-20	0		0341
Bernhard-Göring-Straße	25-67		0		0359
Bernhard-Göring-Straße	26-36		0		0339
Bernhard-Göring-Straße	38-50		0		0338
Bernhard-Göring-Straße	71-75	52-60	4		4019
Bernhard-Göring-Straße	83-91	64-84	4		4039
Bernhard-Göring-Straße	93-107	86-96A	4		4069
Bernhard-Göring-Straße	98-116		4		4089
Bernhard-Göring-Straße	115-123		4		4099
Bernhard-Göring-Straße	118		4		4079
Bernhard-Göring-Straße	125-157	130-150	4		4121
Bernhard-Göring-Straße	159	152-164	4		4129
Bernhard-Göring-Straße	161-163		4		4131
Bernhard-Kellermann-Straße	1-3	4-24	4		4330
Bernhardstraße	1-13	6-50	2		2201
Bernhardstraße	21-57		1		2141
Bernhardstraße	67		1		2139
Bernhardstraße	90-94		2		2219
Bernhardstraße	91	96	2		2330
Bernsteinstraße	1-25	8-30	2	Engelsdorf	2709
Bertha-Beckmann-Weg	1-3	2-10	2	Engelsdorf	2712
Berthastraße	1-31	2-34	9		1209
Bertolt-Brecht-Straße	1-35		1		1169
Bertolt-Brecht-Straße	37-43		1		1159
Beuchaer Straße	1-15	2-12	2		2221
Beuthstraße	21-173	140	9		1220
Beyerleinstraße	2A-12C		8		9209
Biberpfad	11-15	12-20	5		5409
Bibraer Weg	1-13	2-12	5		6311
Biedermannstraße	14-20		4		4109
Biedermannstraße	9-23	24-26	4		4129
Biedermannstraße	33-45A	30-56	4		4132
Biedermannstraße	49-109	58-88	4		4141
Bielastraße	1-13	8-12	7	BöhLindenthalz-Ehrenberg	7441
Bielastraße	14-22		7	BöhLindenthalz-Ehrenberg	7429
Bielastraße	15-45	28-50	7	BöhLindenthalz-Ehrenberg	7421
Bielastraße	75	52-70	7	BöhLindenthalz-Ehrenberg	7419
Bienenwinkel	3-19	2-10	1		2511
Bienerstraße	7	6-8	7		7200
Bienitzblick	5-13	2-8	7	Burghausen	7501
Bienitzstraße	1-21	2-28	7	Burghausen	7501
Binsengrund	5-43	40	1		1401
Binzer Straße	1-27	2-14	6		6419
Birkengasse	1-13	2-10	9	Seehausen	9419
Birkenpilzweg	1-23	2-32	5		5409
Birkenring	1-45	12	9	Wiederitzsch	9519
Birkenstraße	1-19	2-32	7		7029
Birkenweg	1-13	2-14	5	Hartmannsdorf-Knautnaundorf	5520
Birkhahnsteig	1-7	2-12	5		5409
Bisamstraße	15-17	2-18	1		2509
Bischofstraße	1-35	2-22	7		7319
Bismarckstraße	1-15	2-20	5		5319
Bismarckstraße	17-41		5		5311
Bismarckstraße	22		5		5301
Bismarckstraße	30A-30D		5		5329
Bistumsweg	2		5		5412
Bitterfelder Straße	1-21	2-20	9		9369
Björneborgstraße	1-15	6-16	8	Lindenthal	8309
Blanchardweg	1-13		5		5319
Blankenburger Straße	1-9C	4-12	5		6311
Blaufichtenweg	1-7	2-12	5		6312
Blausternweg	3-21	8-12	2	Engelsdorf	2729
Bleichertstraße	2-8		8		9029
Bleichertstraße	11-17	12-14	8		9039
Blochmannstraße	1-21B		0		0601
Blochmannstraße	23-59		8		9039
Blochstraße	1-5	2-4	1		2509
Blücherstraße	1-11	2-12C	8		8059
Blücherstraße	13-41	14-68	8		8049
Blücherstraße	43-57		8		8069
Blumenbogen	1-19	2-36	3	Liebertwolkwitz	3439
Blumenstraße	1-21	4-32	0		0601
Blumenstraße	23-59	34-82	8		9039
Blumenweg	1-17	4-18	9	Wiederitzsch	9531
Blümnerstraße	1-9	2-10	5		5029
Breitkopfstraße	1-7	12-22	3		3001
Breitschuhstraße	5-43	2-38	5		5329
Bremer Straße	1-17		8		9211
Bremer Weg	3-17	2-14	9	Wiederitzsch	9511
Brentanostraße	1-13	8-14	9	Wiederitzsch	9531
Brentanostraße	15-25		9	Wiederitzsch	9519
Brentanostraße	18-24		9	Wiederitzsch	9509
Breslauer Straße	1-37	2-46	3		3119
Breslauer Straße	48-70		3		3140
Breslauer Straße	43-65	72-82	3		3168
Bretschneiderstraße	1-3	2-16	5		5049
Breunsdorffstraße	1-13	2-8	1		1439
Brockhausstraße	1-15		5		5007
Brockhausstraße	2-28		5		5008
Brockhausstraße	17-29	30-44	5		5019
Brockhausstraße	31-39	46-56	5		5029
Brockhausstraße	41-63	58-88	5		5039
Brodauer Weg	1-35	2-34	9		9309
Brösigkestraße	5-23		9	Wiederitzsch	9531
Brösigkestraße	45-59	2-56	9	Wiederitzsch	9509
Brückenstraße	5-9		5		5329
Brückenstraße	17-21	2-18	5		5339
Brückwaldstraße	1-1C	2-12	2		2321
Brüderstraße	15	2-26	0		0200
Brüderstraße	39-65	32-34	0		0212
Brühl	1-69	4-80	0		0019
Bruhnsstraße	1-3	2-6	2		2340
Brunhildstraße	1-5	2-4	4		4359
Brunnenstraße	1-11	2-4	3	Liebertwolkwitz	3409
Brunnenweg	1-39	2-42	1		1500
Brünner Straße	3		5		5209
Brünner Straße	8-28		7		7239
Brünner Straße	15		6		6149
Brunsweg	1-9	2-8	3		3211
Buchener Straße	1-19	20-36	7	BöhLindenthalz-Ehrenberg	7429
Buchengasse	1-25	4-24	9	Seehausen	9419
Buchenwaldstraße	5	2-50	9	Wiederitzsch	9519
Buchenweg	1A-31	2-20	2	Mölkau	2629
Buchfinkenweg	1-41	2-80	8		8101
Bucksdorffstraße	2-26A		8		8069
Bucksdorffstraße	3-25		8		8071
Bucksdorffstraße	33-43	28-46	8		8011
Buckyweg	1-13	2-10	3		3219
Bülowstraße	1-29	2-28	1		2139
Bünaustraße	3-13	4-12	9		9329
Burgauenstraße	3-17	2-10	7	BöhLindenthalz-Ehrenberg	7401
Bürgerstraße	1-23	2-22	4		4402
Burghausener Straße	1-21	2-18	7	BöhLindenthalz-Ehrenberg	7439
Burgplatz	1-7	2	0		0019
Burgstädter Straße	1-11		4		4159
Burgstädter Straße	2-22		4		4149
Burgstraße	1-27	2-12	0		0019
Burgundenstraße	1	2-4	3		3161
Buschenaustraße	1	2-6	9		9359
Bussardweg	1-39	4-8	7	Rückmarsdorf	7529
Bussestraße	3-5A	4-10	1		2009
Buttergasse	3-47	4-36	5		5311
Buttergasse	40-46		5		5329
Büttnerstraße	1-7	6-26	0		0109
Büttnerweg	17-35	2-62	5		5411
Cäcilienstraße	2-6		3		3089
Cäcilienstraße	8-18		3		3039
Calaustraße	1-5	2-8	5		5049
Calderónweg	1-31	2-36	3		3301
Calvisiusstraße	1-41	2-44	7		7121
Campestraße	1-3		5		5249
Campestraße	2-8		5		5259
Carlebachstraße	1-17	2-8	9		1319
Carl-Hinné-Straße	1-9	2-10	7	BöhLindenthalz-Ehrenberg	7421
Carl-Maria-von-Weber-Straße	3-5	2-4	0		0421
Carl-Meyer-Straße	3-5	2-12	7	BöhLindenthalz-Ehrenberg	7429
Carl-Munde-Straße	1-13	2-12	3	Liebertwolkwitz	3409
Carl-Weichelt-Straße	7	4	5		5329
Carpzovstraße	1-19	2-8	3		3059
Carpzovstraße	21-37	16-38	3		3071
Cézanneweg	1-27	2-28	3		3319
Dachauer Straße	1-57	4-24	9	Wiederitzsch	9519
Dachsstraße	1-5	2-6	1		2509
Dachsstraße	8-28		1		2512
