Wbz	Wahlraum	Anschrift	BF
6439	78. Schule	Binzer Straße 14	0
8119	Konvent Sankt Albert	Georg-Schumann-Straße 336	1
6459	KOMM-Haus	Selliner Straße 17	1
8121	Konvent Sankt Albert	Georg-Schumann-Straße 336	1
6469	100. Schule	Miltitzer Allee 1	0
8200	Schule Stahmeln	Stahmelner Höhe 1	0
6489	100. Schule	Miltitzer Allee 1	0
8219	Hort Lützschena	Am Bildersaal 4	0
6491	100. Schule	Miltitzer Allee 1	0
8229	"Kinderhaus ""Lützschenaer Sternchen"""	Freirodaer Weg 2B	1
6509	Max-Klinger-Schule	Miltitzer Weg 2	0
8309	Bürgeramt, Außenstelle Lindenthal	Erich-Thiele-Straße 2	1
6519	91. Schule	Uranusstraße 1	0
8311	Alfred-Kästner-Schule	Gartenwinkel 30	0
6539	Max-Klinger-Schule	Miltitzer Weg 2	0
8312	Alfred-Kästner-Schule	Gartenwinkel 30	0
6549	91. Schule	Uranusstraße 1	0
8313	Alfred-Kästner-Schule	Gartenwinkel 30	0
6559	91. Schule	Uranusstraße 1	0
8321	Paul-Robeson-Schule	Jungmannstraße 5	0
6601	Schule Miltitz	Großmiltitzer Straße 4	0
9009	68. Schule	Breitenfelder Straße 19	1
6602	Schule Miltitz	Großmiltitzer Straße 4	0
9021	Friedrich-Schiller-Schule	Elsbethstraße 2	0
7001	Helmholtzschule	Helmholtzstraße 6	0
9029	Erich-Kästner-Schule (Neubau)	Erfurter Straße 9	1
7019	Helmholtzschule	Helmholtzstraße 6	0
9039	Friedrich-Schiller-Schule	Elsbethstraße 2	0
7029	Helmholtzschule	Helmholtzstraße 6	0
9049	68. Schule	Breitenfelder Straße 19	1
7109	Käthe-Kollwitz-Schule (Nebenstelle)	Uhlandstraße 28	0
9059	68. Schule	Breitenfelder Straße 19	1
7119	Käthe-Kollwitz-Schule (Nebenstelle)	Uhlandstraße 28	0
9069	Erich-Kästner-Schule (Neubau)	Erfurter Straße 9	1
7121	Käthe-Kollwitz-Schule (Nebenstelle)	Uhlandstraße 28	0
9070	68. Schule	Breitenfelder Straße 19	1
7131	Käthe-Kollwitz-Schule (Nebenstelle)	Uhlandstraße 28	0
9081	Erich-Kästner-Schule (Neubau)	Erfurter Straße 9	1
7140	Nachbarschaftsschule	Demmeringstraße 31	1
9100	Versöhnungsgemeinde Leipzig-Gohlis	Hans-Oster-Str. 16	0
7159	Nachbarschaftsschule	Demmeringstraße 31	1
9111	Versöhnungsgemeinde Leipzig-Gohlis	Hans-Oster-Str. 16	0
7161	Nachbarschaftsschule	Demmeringstraße 31	1
9129	Versöhnungsgemeinde Leipzig-Gohlis	Hans-Oster-Str. 16	0
7200	46. Schule	Saalfelder Straße 29	0
9139	Karl-Liebknecht-Schule	Heinrich-Mann-Straße 1	1
7219	46. Schule	Saalfelder Straße 29	0
9149	35. Schule	Virchowstraße 4	0
7239	46. Schule	Saalfelder Straße 29	0
9151	35. Schule	Virchowstraße 4	0
7309	Helmholtzschule (Außenstelle)	Georg-Schwarz-Str. 113	0
9168	35. Schule	Virchowstraße 4	0
7319	Helmholtzschule (Außenstelle)	Georg-Schwarz-Str. 113	0
9169	35. Schule	Virchowstraße 4	0
7329	Helmholtzschule (Außenstelle)	Georg-Schwarz-Str. 113	0
9171	35. Schule	Virchowstraße 4	0
7341	Helmholtzschule (Außenstelle)	Georg-Schwarz-Str. 113	0
9209	Hans-Kroch-Schule	Jörgen-Schmidtchen-Weg 8	0
7359	Rathaus Leutzsch	Georg-Schwarz-Straße 140	1
9211	Hans-Kroch-Schule	Jörgen-Schmidtchen-Weg 8	0
7401	Heinrich-Pestalozzi-Schule	Pestalozzistraße 39	0
9221	Karl-Liebknecht-Schule	Heinrich-Mann-Straße 1	1
9229	Karl-Liebknecht-Schule	Heinrich-Mann-Straße 1	1
9419	Kindertagesstätte Hohenheida	An der Hauptstraße 40A	1
9231	Karl-Liebknecht-Schule	Heinrich-Mann-Straße 1	1
9509	Schule Wiederitzsch	Zur Schule 11	1
9309	Carl-von-Linné-Schule	Delitzscher Straße 110	0
9511	Schule Wiederitzsch	Zur Schule 11	1
9329	Carl-von-Linné-Schule	Delitzscher Straße 110	0
9519	Schule Wiederitzsch	Zur Schule 11	1
9339	33. Schule	Anhalter Straße 1	1
9520	Schule Wiederitzsch	Zur Schule 11	1
9349	33. Schule	Anhalter Straße 1	1
9531	Schule Wiederitzsch	Zur Schule 11	0
9359	33. Schule	Anhalter Straße 1	1
9369	33. Schule	Anhalter Straße 1	1
9400	Schule Seehausen	Seehausener Allee 17	0
